"Date","deep_mean","shal_mean","deep_n","shal_n","deep_dose","shal_dose","Rdt"
"2009-06-08",0.00308020833333333,6.3501375,288,288,0.00026613,0.54865188,2009-06-08
"2009-06-09",0,1.55047708333333,288,288,0,0.13396122,2009-06-09
"2009-06-10",0.0143743055555556,5.77204375,288,288,0.00124194,0.49870458,2009-06-10
"2009-06-11",0,3.99625833333333,288,288,0,0.34527672,2009-06-11
"2009-06-12",0.0564704861111111,8.43621597222222,288,288,0.00487905,0.72888906,2009-06-12
"2009-06-13",0.0195079861111111,10.4580618055556,288,288,0.00168549,0.90357654,2009-06-13
"2009-06-14",0,2.1167125,288,288,0,0.18288396,2009-06-14
"2009-06-15",0.0164277777777778,7.03001527777778,288,288,0.00141936,0.60739332,2009-06-15
"2009-06-16",0.0236149305555556,5.10105972222222,288,288,0.00204033,0.44073156,2009-06-16
"2009-06-17",0.00205347222222222,3.40531805555556,288,288,0.00017742,0.29421948,2009-06-17
"2009-06-18",0.0308020833333333,7.21974861111111,288,288,0.0026613,0.62378628,2009-06-18
"2009-06-19",0.260790972222222,9.99064583333333,288,288,0.02253234,0.8631918,2009-06-19
"2009-06-20",0.244363194444444,7.45790347222222,288,288,0.02111298,0.64436286,2009-06-20
"2009-06-21",2.07092673611111,11.2555347222222,288,288,0.17892807,0.9724782,2009-06-21
"2009-06-22",1.14070381944444,6.96182986111111,288,288,0.09855681,0.6015021,2009-06-22
"2009-06-23",0.939463541666667,12.5629159722222,288,288,0.08116965,1.08543594,2009-06-23
"2009-06-24",0.196106597222222,8.17928541666667,288,288,0.01694361,0.70669026,2009-06-24
"2009-06-25",1.85839236111111,20.0326777777778,288,288,0.1605651,1.73082336,2009-06-25
"2009-06-26",2.72906458333333,16.6441590277778,288,288,0.23579118,1.43805534,2009-06-26
"2009-06-27",0.740276736111111,16.2429520833333,288,288,0.06395991,1.40339106,2009-06-27
"2009-06-28",0.790586805555556,9.8187,288,288,0.0683067,0.84833568,2009-06-28
"2009-06-29",0.792640277777778,10.067725,288,288,0.06848412,0.86985144,2009-06-29
"2009-06-30",1.03289652777778,10.0558666666667,288,288,0.08924226,0.86882688,2009-06-30
"2009-07-01",0.973345833333333,12.2674458333333,288,288,0.08409708,1.05990732,2009-07-01
"2009-07-02",0.0852190972222222,3.95376597222222,288,288,0.00736293,0.34160538,2009-07-02
"2009-07-03",0.146823263888889,2.83315347222222,288,288,0.01268553,0.24478446,2009-07-03
"2009-07-04",0,0.519790277777778,288,288,0,0.04490988,2009-07-04
"2009-07-05",0,0.214438194444444,288,288,0,0.01852746,2009-07-05
"2009-07-06",0,2.99324097222222,288,288,0,0.25861602,2009-07-06
"2009-07-07",0.455870833333333,10.7782368055556,288,288,0.03938724,0.93123966,2009-07-07
"2009-07-08",0.785453125,9.91751944444444,288,288,0.06786315,0.85687368,2009-07-08
"2009-07-09",1.42305625,14.63021875,288,288,0.12295206,1.2640509,2009-07-09
"2009-07-10",0.0626309027777778,7.97275277777778,288,288,0.00541131,0.68884584,2009-07-10
"2009-07-11",1.10476805555556,7.15848055555556,288,288,0.09545196,0.61849272,2009-07-11
"2009-07-12",3.49603645833333,8.77813125,288,288,0.30205755,0.75843054,2009-07-12
"2009-07-13",0.826522569444444,7.18219722222222,288,288,0.07141155,0.62054184,2009-07-13
"2009-07-14",0.364959205776173,12.1636854166667,277,288,0.03032811,1.05094242,2009-07-14
"2009-07-15",0.857213194444444,13.5076298611111,288,288,0.07406322,1.16705922,2009-07-15
"2009-07-16",0.403897569444444,14.0274201388889,288,288,0.03489675,1.2119691,2009-07-16
"2009-07-17",1.23640173611111,15.7053743055556,288,288,0.10682511,1.35694434,2009-07-17
"2009-07-18",2.67237638888889,14.6845694444444,288,288,0.23089332,1.2687468,2009-07-18
"2009-07-19",0.147303819444444,6.72169861111111,288,288,0.01272705,0.58075476,2009-07-19
"2009-07-20",0.346876736111111,8.38680625,288,288,0.02997015,0.72462006,2009-07-20
"2009-07-21",0.394394097222222,5.33921458333333,288,288,0.03407565,0.46130814,2009-07-21
"2009-07-22",0.458067361111111,16.2469048611111,288,288,0.03957702,1.40373258,2009-07-22
"2009-07-23",1.26206111111111,12.0816652777778,288,288,0.10904208,1.04385588,2009-07-23
"2009-07-24",0.8553125,14.4612375,288,288,0.073899,1.24945092,2009-07-24
"2009-07-25",1.38370555555556,17.4139625,288,288,0.11955216,1.50456636,2009-07-25
"2009-07-26",1.04918333333333,14.1756493055556,288,288,0.09064944,1.2247761,2009-07-26
"2009-07-27",2.82538229166667,13.91871875,288,288,0.24411303,1.2025773,2009-07-27
